
Timestamp,X,Y,Z
2025-02-09 16:13:35,0.04,1.00,0.08
2025-02-09 16:13:35,0.07,1.00,0.11
2025-02-09 16:13:35,0.07,1.00,0.11
2025-02-09 16:13:35,0.08,1.01,0.10
2025-02-09 16:13:36,0.07,1.00,0.11
2025-02-09 16:13:36,0.04,1.01,0.10
2025-02-09 16:13:37,0.08,1.00,0.10
2025-02-09 16:13:37,0.08,1.00,0.10
2025-02-09 16:13:38,0.08,1.00,0.11
2025-02-09 16:13:38,0.08,1.00,0.10
2025-02-09 16:13:39,0.08,1.00,0.11
2025-02-09 16:13:39,0.10,1.00,0.11
2025-02-09 16:13:40,0.12,0.99,0.13
2025-02-09 16:13:40,0.05,0.99,0.12
2025-02-09 16:13:41,0.09,1.00,0.11
2025-02-09 16:13:41,0.11,1.01,0.11
2025-02-09 16:13:42,0.06,1.00,0.11
2025-02-09 16:13:42,0.10,1.02,0.10
2025-02-09 16:13:43,0.06,0.99,0.12
2025-02-09 16:13:43,0.08,1.01,0.12
2025-02-09 16:13:44,0.08,0.99,0.12
2025-02-09 16:13:44,0.08,1.00,0.12
2025-02-09 16:13:45,0.07,1.00,0.12
2025-02-09 16:13:45,0.08,0.99,0.12
2025-02-09 16:13:46,0.08,1.00,0.13
2025-02-09 16:13:46,0.06,1.01,0.11
2025-02-09 16:13:47,0.08,1.00,0.10
2025-02-09 16:13:47,0.07,1.00,0.11
2025-02-09 16:13:48,0.09,1.00,0.11
2025-02-09 16:13:48,0.07,1.00,0.10
2025-02-09 16:13:49,0.09,1.01,0.11
2025-02-09 16:13:49,0.08,1.02,0.11
2025-02-09 16:13:50,0.10,1.01,0.09
2025-02-09 16:13:50,0.09,1.01,0.10
2025-02-09 16:13:51,0.07,0.99,0.13
2025-02-09 16:13:51,0.07,1.02,0.15
2025-02-09 16:13:52,0.13,1.00,0.11
2025-02-09 16:13:52,0.07,1.01,0.12
2025-02-09 16:13:53,0.10,1.00,0.10
2025-02-09 16:13:53,0.07,1.01,0.10
2025-02-09 16:13:54,0.13,0.96,0.15
2025-02-09 16:13:54,0.09,1.01,0.10
2025-02-09 16:13:55,0.10,0.98,0.10
2025-02-09 16:13:55,0.11,1.01,0.06
2025-02-09 16:13:56,0.10,0.99,0.12
2025-02-09 16:13:56,0.09,0.99,0.12
2025-02-09 16:13:57,0.10,1.00,0.11
2025-02-09 16:13:57,0.07,0.99,0.12
2025-02-09 16:13:58,0.12,0.99,0.16
2025-02-09 16:13:58,0.12,1.00,0.11
2025-02-09 16:13:59,0.11,1.00,0.13
2025-02-09 16:13:59,0.11,0.99,0.16
2025-02-09 16:14:00,0.09,1.00,0.13
2025-02-09 16:14:00,0.09,0.99,0.17
2025-02-09 16:14:01,0.09,1.01,0.12
2025-02-09 16:14:01,0.08,1.01,0.15
2025-02-09 16:14:02,0.06,0.99,0.17
2025-02-09 16:14:02,0.08,0.99,0.15
2025-02-09 16:14:03,-0.03,0.99,0.17
2025-02-09 16:14:03,0.09,1.00,0.11
2025-02-09 16:14:04,0.08,1.01,0.14
2025-02-09 16:14:04,0.09,1.00,0.10
2025-02-09 16:14:05,0.14,1.03,0.08
2025-02-09 16:14:05,0.10,1.00,0.13
2025-02-09 16:14:06,0.11,1.00,0.11
2025-02-09 16:14:06,0.08,1.01,0.12
2025-02-09 16:14:07,0.07,1.02,0.10
2025-02-09 16:14:07,0.12,1.00,0.07
2025-02-09 16:14:08,0.07,0.99,0.10
2025-02-09 16:14:08,0.12,1.01,0.05
2025-02-09 16:14:09,0.08,0.99,0.14
2025-02-09 16:14:09,0.06,1.00,0.12
2025-02-09 16:14:10,0.09,0.98,0.12
2025-02-09 16:14:11,0.08,1.00,0.13
2025-02-09 16:14:11,0.09,1.01,0.12
2025-02-09 16:14:12,0.10,1.00,0.08
2025-02-09 16:14:12,0.11,1.03,0.11
2025-02-09 16:14:13,0.07,0.99,0.15
2025-02-09 16:14:13,0.08,1.00,0.12
2025-02-09 16:14:14,0.07,1.00,0.13
